name,min_salary,max_salary,currency,url,cite
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/73371410?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python Developer,70000.0,,руб.,https://novosibirsk.hh.ru/vacancy/75894357?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle разработчик Python,,,,https://novosibirsk.hh.ru/vacancy/75883895?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Старший Python Developer (Django), проекты в строительной сфере",,,,https://novosibirsk.hh.ru/vacancy/76905717?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python developer (FastApi + Django),200000.0,350000.0,руб.,https://novosibirsk.hh.ru/vacancy/77034438?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Тестировщик на Python,,,,https://novosibirsk.hh.ru/vacancy/76324043?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик python (Senior/Lead),,,,https://novosibirsk.hh.ru/vacancy/76110576?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Бекэнд разработчик Python,120000.0,,руб.,https://novosibirsk.hh.ru/vacancy/74408443?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик python (Senior/Lead),,,,https://novosibirsk.hh.ru/vacancy/77208228?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer,,180000.0,руб.,https://novosibirsk.hh.ru/vacancy/76131906?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/75546793?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Team Lead Python backend (удаленно),,,,https://novosibirsk.hh.ru/vacancy/76445564?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer,,,,https://novosibirsk.hh.ru/vacancy/75486835?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Junior Python разработчик (роботы),35000.0,45000.0,руб.,https://novosibirsk.hh.ru/vacancy/76557364?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/70821270?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle python developer,,,,https://novosibirsk.hh.ru/vacancy/71418146?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик/ Django,,,,https://novosibirsk.hh.ru/vacancy/75846166?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик,100000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76588404?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Python Разработчик (junior+,middle)",180000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76610707?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer (middle+),,,,https://novosibirsk.hh.ru/vacancy/76809467?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Data Science Python разработчик,,,,https://novosibirsk.hh.ru/vacancy/76773921?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик back-end (python),,,,https://novosibirsk.hh.ru/vacancy/74365805?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик (Middle / Senior),,,,https://novosibirsk.hh.ru/vacancy/77012817?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Старший разработчик Python (аналитическая платформа),,,,https://novosibirsk.hh.ru/vacancy/75769974?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Руководитель группы разработки бекенда Яндекс Игр (Go/Python),,,,https://novosibirsk.hh.ru/vacancy/77012590?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python developer,350000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76797183?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,,,,https://novosibirsk.hh.ru/vacancy/73806402?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer,200000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/76345005?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76649093?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python backend-developer,80000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76249648?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Инженер-программист Python,,,,https://novosibirsk.hh.ru/vacancy/76827205?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Go разработчик со знаниями Python,,,KZT,https://novosibirsk.hh.ru/vacancy/76645849?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Junior Python Developer,40000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76329107?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer,200000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/76345004?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,120000.0,250000.0,руб.,https://novosibirsk.hh.ru/vacancy/76161627?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,,,,https://novosibirsk.hh.ru/vacancy/73068373?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Fullstack Python Developer / Python Разработчик,,,,https://novosibirsk.hh.ru/vacancy/76399952?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Senior Python Developer (Кипр),4000.0,,EUR,https://novosibirsk.hh.ru/vacancy/76929482?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Преподаватель онлайн-курсов Python&Scratch для детей (индивидуальные занятия),,,,https://novosibirsk.hh.ru/vacancy/76872167?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Преподаватель курсов «Алгоритмики» в школах Ростова-на-Дону (Python, Scratch)",30000.0,70000.0,руб.,https://novosibirsk.hh.ru/vacancy/76785247?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76521668?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Tech Lead Python,400000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76539647?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,250000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76400839?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/69107011?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик / Отдел анализа и экспертизы,,,,https://novosibirsk.hh.ru/vacancy/73758872?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Ведущий ГИС аналитик (Python),,,,https://novosibirsk.hh.ru/vacancy/76324561?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Начинающий программист BI (sql/python/js),50000.0,70000.0,руб.,https://novosibirsk.hh.ru/vacancy/76569529?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python\Django,,,,https://novosibirsk.hh.ru/vacancy/74303312?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Главный специалист (Разработчик Python (Django),,,,https://novosibirsk.hh.ru/vacancy/76773498?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик,50000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76507859?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer middle+,150000.0,180000.0,руб.,https://novosibirsk.hh.ru/vacancy/75692159?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/76146275?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76844081?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer,,,,https://novosibirsk.hh.ru/vacancy/76165466?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик (VK People Hub),,,,https://novosibirsk.hh.ru/vacancy/76645594?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",,,,https://novosibirsk.hh.ru/vacancy/73593391?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76392449?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76075359?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Автотестировщик (Python) Middle/Senior,,,,https://novosibirsk.hh.ru/vacancy/72875551?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python (middle),,,,https://novosibirsk.hh.ru/vacancy/76718464?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Главный разработчик Python/JS,,,,https://novosibirsk.hh.ru/vacancy/76779281?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик Pre Middle / Middle,60000.0,140000.0,руб.,https://novosibirsk.hh.ru/vacancy/76340461?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-developer,100000.0,215000.0,руб.,https://novosibirsk.hh.ru/vacancy/67635148?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
"Аналитик данных (SQL, Python)",,,,https://novosibirsk.hh.ru/vacancy/76343990?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python разработчик (Северсталь Диджитал),,,,https://novosibirsk.hh.ru/vacancy/76641904?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer (Machine Learning Engineer),,,,https://novosibirsk.hh.ru/vacancy/76654024?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python developer,,,,https://novosibirsk.hh.ru/vacancy/76163281?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python-разработчик в команду Облачных баз данных,,,,https://novosibirsk.hh.ru/vacancy/72417835?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python-разработчик,,,,https://novosibirsk.hh.ru/vacancy/76484939?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Teamlead Backend (Python),,,,https://novosibirsk.hh.ru/vacancy/73474738?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python (Применение моделей),,,,https://novosibirsk.hh.ru/vacancy/76336685?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Backend-Developer Python (middle),,,,https://novosibirsk.hh.ru/vacancy/73244938?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Team Lead,,,,https://novosibirsk.hh.ru/vacancy/76710564?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python (Применение моделей),,,,https://novosibirsk.hh.ru/vacancy/76336640?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Разработчик Python,,,,https://novosibirsk.hh.ru/vacancy/76235272?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Программист Python,,,,https://novosibirsk.hh.ru/vacancy/76272911?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python Developer,150000.0,200000.0,руб.,https://novosibirsk.hh.ru/vacancy/76235674?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Python Developer,,,,https://novosibirsk.hh.ru/vacancy/76491984?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Junior QA Automation (Python),,,,https://novosibirsk.hh.ru/vacancy/76275217?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Middle Python-разработчик (удалённо),150000.0,,руб.,https://novosibirsk.hh.ru/vacancy/76435882?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Автор работ по программированию Python,,90000.0,руб.,https://novosibirsk.hh.ru/vacancy/76611771?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
Ведущий Python разработчик,,,,https://novosibirsk.hh.ru/vacancy/73570582?from=vacancy_search_list&query=python,https://novosibirsk.hh.ru
