names,prices,urls
Смартфон Apple iPhone 14 Pro 128GB Silver eSIM,111199.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-128gb-silver-esim-30064938
Смартфон OPPO A57s 4/128Gb Blue,11999.0,https://www.mvideo.ru/products/smartfon-oppo-a57s-4-128gb-blue-30066063
Смартфон Apple iPhone 14 Pro Max 512GB Space Black (Dual Sim),152999.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-512gb-space-black-dual-sim-30065563
Смартфон Infinix Smart 6 X6511 32Gb 2Gb Black,5999.0,https://www.mvideo.ru/products/smartfon-infinix-smart-6-x6511-32gb-2gb-black-30064415
Смартфон Samsung Galaxy A13 4/128GB (SM-A137F) белый,14899.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a13-4-128gb-sm-a137f-belyi-30066116
Смартфон Apple iPhone 14 Pro Max 1TB Silver eSIM,168999.0,https://www.mvideo.ru/products/smartfon-apple-iphone-14-pro-max-1tb-silver-esim-30065150
Смартфон POCO X5 5G 8GB+256GB Black (45038),23999.0,https://www.mvideo.ru/products/smartfon-poco-x5-5g-8gb256gb-black-45038-400083346
Смартфон Infinix Hot 20i 4/64Gb Lite Blue (X665E),7499.0,https://www.mvideo.ru/products/smartfon-infinix-hot-20i-4-64gb-lite-blue-x665e-400040130
Смартфон Samsung Galaxy M23 6/128GB Orange Copper (SM-M236B),18499.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m23-6-128gb-orange-copper-sm-m236b-30065886
Смартфон Honor X7A 4/128GB 5109AMLS Ocean Blue,15999.0,https://www.mvideo.ru/products/smartfon-honor-x7a-4-128gb-5109amls-ocean-blue-400078850
Смартфон Samsung Galaxy S22 (5G) 8/128Gb фиолетовый,59999.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s22-5g-8-128gb-fioletovyi-30065803
"Как новый Смартфон Apple iPhone 11 128GB Black,идеальный",38990.0,https://www.mvideo.ru/products/kak-novyi-smartfon-apple-iphone-11-128gb-blackidealnyi-4195121
Смартфон Infinix Note 12 Pro 8/256Gb Lite Blue,20690.0,https://www.mvideo.ru/products/smartfon-infinix-note-12-pro-8-256gb-lite-blue-400034301
Смартфон Samsung Galaxy A23 4/64Gb Black,18490.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a23-4-64gb-black-400007822
Смартфон Tecno Spark 8c 4/64 Diamond Gray,6890.0,https://www.mvideo.ru/products/smartfon-tecno-spark-8c-4-64-diamond-gray-4199542
Смартфон Samsung Galaxy A13 4/64Gb White,13290.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a13-4-64gb-white-400007788
"Смартфон Samsung Galaxy A23 4/64 GB, Light Blue",18190.0,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a23-4-64-gb-light-blue-400009321
